-554 -128 -509.68 -117.76
-539 -57 -495.88 -52.44
-421 87 -387.32 80.04
-422 83 -388.24 76.36
-276 135 -253.92 124.2
-149 169 -137.08 155.48
69 104 63.48 95.68
128 60 117.76 55.2
152 25 139.84 23.0
201 -92 184.92 -84.64
194 -152 178.48 -139.84
203 -198 186.76 -182.16
206 -212 189.52 -195.04
182 -304 167.44 -279.68
174 -315 160.08 -289.8
164 -327 150.88 -300.84
146 -344 134.32 -316.48
138 -371 126.96 -341.32
142 -402 130.64 -369.84
90 -414 82.8 -380.88
36 -464 33.12 -426.88
18 -474 16.56 -436.08
-33 -495 -30.36 -455.4
-44 -493 -40.48 -453.56
-167 -487 -153.64 -448.04
-314 -435 -288.88 -400.2
-482 -235 -443.44 -216.2
-494 -156 -454.48 -143.52
-490 -64 -450.8 -58.88
-489 -151 -449.88 -138.92
-392 -388 -360.64 -356.96
-206 -469 -189.52 -431.48
-168 -467 -154.56 -429.64
-79 -447 -72.68 -411.24
-3 -409 -2.76 -376.28
130 -362 119.6 -333.04
124 -303 114.08 -278.76
117 -256 107.64 -235.52
138 -254 126.96 -233.68
195 -160 179.4 -147.2
171 -112 157.32 -103.04
158 -73 145.36 -67.16
137 -34 126.04 -31.28
78 21 71.76 19.32
-116 129 -106.72 118.68
-143 160 -131.56 147.2
-99 167 -91.08 153.64
-157 161 -144.44 148.12
-276 129 -253.92 118.68
-346 92 -318.32 84.64
-414 34 -380.88 31.28
-433 -239 -398.36 -219.88
-421 -265 -387.32 -243.8
-392 -340 -360.64 -312.8
-339 -421 -311.88 -387.32
-175 -478 -161.0 -439.76
-86 -379 -79.12 -348.68
-114 -399 -104.88 -367.08
-120 -388 -110.4 -356.96
-37 -391 -34.04 -359.72
-23 -370 -21.16 -340.4
-20 -364 -18.4 -334.88
36 -354 33.12 -325.68
89 -340 81.88 -312.8
143 -239 131.56 -219.88
154 -191 141.68 -175.72
142 -99 130.64 -91.08
115 -57 105.8 -52.44
72 98 66.24 90.16
3 158 2.76 145.36
