-8.28 -15.64 -0.92
-10.12 -8.28 -1.84
-8.28 -9.2 0.0
-7.36 -2.76 0.0
-11.96 -2.76 -0.92
-8.28 0.92 -0.92
-9.2 0.92 -0.92
-7.36 9.2 0.0
-8.28 18.4 -0.92
-4.6 30.36 -0.92
-2.76 24.84 -0.92
0.0 34.96 0.0
0.92 35.88 -1.84
0.92 33.12 0.0
2.76 26.68 -0.92
3.68 26.68 -0.92
2.76 34.04 -1.84
0.0 29.44 -0.92
0.0 24.84 0.0
-1.84 27.6 -0.92
-1.84 26.68 -0.92
0.92 27.6 -0.92
0.92 25.76 -0.92
1.84 29.44 -1.84
0.92 28.52 -0.92
0.92 23.92 0.0
-0.92 32.2 -0.92
-1.84 33.12 -0.92
-0.92 28.52 -0.92
-0.92 24.84 -0.92
0.0 27.6 -0.92
0.0 23.92 0.0
1.84 23.92 -0.92
0.0 23.92 -0.92
0.92 25.76 -0.92
0.0 26.68 0.0
0.92 36.8 -0.92
-0.92 34.96 -0.92
-0.92 40.48 -0.92
0.92 40.48 -0.92
0.0 44.16 -0.92
0.0 38.64 -0.92
0.0 34.96 -1.84
-0.92 38.64 -0.92
-0.92 40.48 -1.84
-0.92 35.88 0.0
0.92 36.8 -0.92
0.0 32.2 -0.92
0.0 31.28 -0.92
-2.76 29.44 -0.92
-1.84 30.36 -1.84
-5.52 27.6 0.0
-3.68 28.52 -0.92
-4.6 27.6 -0.92
-5.52 24.84 -0.92
-4.6 25.76 -0.92
-4.6 27.6 -0.92
-5.52 30.36 -0.92
-1.84 25.76 -0.92
-3.68 28.52 -0.92
-1.84 26.68 -0.92
